corruption,severity,f1_macro
gaussian_noise,1,0.7796816034027924
gaussian_noise,2,0.7197141388383683
gaussian_noise,3,0.6339764703297306
gaussian_noise,4,0.5930094382240173
gaussian_noise,5,0.5497137273472116
shot_noise,1,0.7999777110024201
shot_noise,2,0.7740299173858817
shot_noise,3,0.6889960317462669
shot_noise,4,0.6444951922923807
shot_noise,5,0.5743823309369849
impulse_noise,1,0.7648781346353802
impulse_noise,2,0.6928199505795029
impulse_noise,3,0.6121720033945994
impulse_noise,4,0.480199736698374
impulse_noise,5,0.36812057644843904
defocus_blur,1,0.8197056160259699
defocus_blur,2,0.798955463301085
defocus_blur,3,0.7533829060390069
defocus_blur,4,0.6931567186245285
defocus_blur,5,0.5720141057454906
glass_blur,1,0.6073231038411968
glass_blur,2,0.6164406065976986
glass_blur,3,0.6719396591710256
glass_blur,4,0.4596072932226808
glass_blur,5,0.5395325676898439
motion_blur,1,0.7740771388203904
motion_blur,2,0.7099284724850607
motion_blur,3,0.6505446330193527
motion_blur,4,0.6456958254060892
motion_blur,5,0.5953362673224998
zoom_blur,1,0.7487872650387123
zoom_blur,2,0.7329787028736954
zoom_blur,3,0.7019990101456057
zoom_blur,4,0.672964857097378
zoom_blur,5,0.6186089717868766
snow,1,0.7755493691801438
snow,2,0.6893375896814107
snow,3,0.6927583143047868
snow,4,0.6670251934513037
snow,5,0.6484486742906511
frost,1,0.7887223313395701
frost,2,0.7415873588280864
frost,3,0.66998142944565
frost,4,0.670348898878151
frost,5,0.5936078591259493
fog,1,0.8237153222902972
fog,2,0.7941162344109326
fog,3,0.7424483949247087
fog,4,0.6655005413726246
fog,5,0.47603540541845524
brightness,1,0.8203766821276629
brightness,2,0.8109090039317491
brightness,3,0.7991199838427698
brightness,4,0.7819077565175883
brightness,5,0.7336780666829138
contrast,1,0.8132357245337021
contrast,2,0.7249014532721729
contrast,3,0.6292581673908372
contrast,4,0.45866736143846304
contrast,5,0.2118102080765718
elastic_transform,1,0.7637998421319753
elastic_transform,2,0.7645132474416555
elastic_transform,3,0.7368645249451425
elastic_transform,4,0.719030118173145
elastic_transform,5,0.7086636055539103
pixelate,1,0.812185083764916
pixelate,2,0.7933434605948444
pixelate,3,0.7789196214844665
pixelate,4,0.7171230824974654
pixelate,5,0.6371582989570971
jpeg_compression,1,0.8104200145480632
jpeg_compression,2,0.7970183393428305
jpeg_compression,3,0.7893622479610457
jpeg_compression,4,0.7822062360092277
jpeg_compression,5,0.7766037197669408
