learning_rate,beta_1,beta_2,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100,Test
0.001,0.9,0.999,0.8656743782118423,0.9075848681280562,0.9072770667018588,0.9080734835453173,0.9202198456526404,0.9187787732235106,0.9203014662102502,0.9097947834612062,0.9190955997371016,0.930763484635196,0.9154097303205765
0.001,0.9,0.5,0.844354215767899,0.869511824144228,0.8957797773580427,0.9089706910979329,0.9055311553740746,0.9120286146098262,0.9044177338191093,0.915281278663492,0.9184118796666411,0.03868337455489835,0.042800172196105074
0.0005,0.9,0.999,0.842791586672325,0.8895984255775848,0.9019684875054608,0.9076055142016417,0.9147442981666133,0.9189499016798873,0.9151429015591909,0.9199694918327417,0.9195022160585807,0.9119114755792307,0.9117778929773322
0.001,0.9,0.99,0.8584204997082022,0.8896793123996899,0.9024683478349381,0.909302459766718,0.9172283275398385,0.9143365311789247,0.9106900772355105,0.9157848697971719,0.9152276114063476,0.9236538781987745,0.9225728437308233
0.001,0.9,0.9999,0.8731250518621388,0.9006591981542893,0.9016836051108555,0.9156303233313563,0.9196066869365771,0.9137101916698563,0.9172825125266358,0.9180510186194614,0.9187901840987855,0.9258293154740299,0.9153639130407919
0.001,0.95,0.99,0.8608091260316113,0.9022650736814789,0.9126277561768947,0.9129623365443637,0.9186238130821363,0.9191393031182129,0.9130720893427633,0.9236092130560276,0.9217009376833678,0.9220692458037242,0.9189616186855588
0.001,0.95,0.999,0.8557402541147658,0.8879922030869958,0.9001277218545429,0.9106361767104257,0.9143189619892658,0.9169341249216496,0.9158574532419317,0.912700661978441,0.9165308330912005,0.9227347557994596,0.9202945464535622
0.001,0.95,0.9999,0.8526250593959253,0.9016095080164368,0.9045498817612556,0.9121267045315905,0.9143914074895164,0.9193372228870975,0.9147204773401635,0.9186405164174929,0.9125176899354305,0.9169064568325576,0.9204923532723026
0.001,0.8,0.99,0.8538441890533651,0.8980020224311553,0.9035323102025835,0.9120107779071673,0.9126567107554399,0.9098430094012935,0.9157955695998377,0.917463114487896,0.9191637112033197,0.9157822770656413,0.9129007857993606
0.001,0.8,0.999,0.8776325536405258,0.8930683837476966,0.9081791818739046,0.9099389995572441,0.9167221387580866,0.9161190252856406,0.9084052943335659,0.9189023046912969,0.9221796708137905,0.9248291434616533,0.9232323696326643
0.001,0.8,0.9999,0.8757851851214458,0.877705210909075,0.8994921094259043,0.9134455090291667,0.9094623369476358,0.9132647128362439,0.9213874285193239,0.9218378841185018,0.9182418332093372,0.9209926145031515,0.9215031173533059
0.0005,0.95,0.99,0.8412348344705167,0.8965920664619302,0.90920443720282,0.9138323457949952,0.9064591803101404,0.9102425191882334,0.914169100514379,0.9139302884224307,0.920373350996717,0.919532722095824,0.9184025348567776
0.0005,0.95,0.999,0.8447085926785298,0.8811075214270128,0.8934128737998639,0.9039621356795529,0.9000697745753918,0.9102310179991013,0.922850550957499,0.9170026682277272,0.9158307923973112,0.9257250579829653,0.9169578487335552
0.0005,0.95,0.9999,0.8590428534867218,0.8869621900935121,0.9073779571938679,0.9072727970817347,0.913454236515423,0.9100446424847652,0.9097331584647798,0.9103024792924879,0.91967709262389,0.9150546449631498,0.9197587950240587
0.0005,0.9,0.99,0.8301313167286505,0.8899548814517513,0.9026629782864944,0.9105108554741943,0.9111098124771819,0.9185400096674762,0.9018718942024272,0.9154827044602681,0.919519627547729,0.9211308794177053,0.9163765216021755
0.0005,0.9,0.999,0.845544178323045,0.8858450857821178,0.9049281826681733,0.9042945058221254,0.9111698544221053,0.9099748215704826,0.9116636158018083,0.9160309314725785,0.917484945480893,0.9177204469317888,0.918313638088501
0.0005,0.9,0.9999,0.8463679088899694,0.8779653114401793,0.9008309369592418,0.9076435546433569,0.9101908159518487,0.9108393727966346,0.9193783096331762,0.9192843335202113,0.9260689108110043,0.9189337860969117,0.9180625520831998
0.0005,0.8,0.99,0.8521907913143437,0.8864043871050697,0.9102671163301664,0.9100920633075296,0.9043808179224726,0.908792068339924,0.9175056405589448,0.9163506466459557,0.9196992250342829,0.9181094427021609,0.9140582839854563
0.0005,0.8,0.999,0.8665198988674687,0.901993408875137,0.9031172869375886,0.9134970118935966,0.9161056908908076,0.9114525061334389,0.9234633955052791,0.9232317877281645,0.9202263703253146,0.9191220319990645,0.9185351286596332
