learning_rate,momentum,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100,Test
0.05,0.0,0.6759781386026705,0.7585651794937514,0.8233616250814825,0.8347192702238179,0.8302793173117047,0.8351906243760192,0.8422602052567676,0.8403674541255084,0.821411495005783,0.8528544548441687,0.8555238645549487
0.01,0.0,0.472984762904569,0.5901573941261611,0.6726045491633381,0.7340231687761207,0.6977538531104739,0.7596007230027785,0.8020331386951604,0.8052487309579778,0.8084137517060354,0.81499528376838,0.8229416506331996
0.005,0.0,0.41322731906085675,0.4858043666299963,0.5736817279197289,0.6352959173463634,0.6578854499890425,0.7032573139837057,0.7409197459427818,0.7584538716126554,0.7591801263984896,0.7803736745096863,0.7908529669266736
0.001,0.0,0.16276289409813122,0.2657797287267334,0.34638685957863713,0.39073950431623433,0.43594382289923556,0.464450350433472,0.4749444976559256,0.5099751563106525,0.5077493476694598,0.5443091162790872,0.5618843630535164
0.05,0.6,0.7868131643274581,0.8123523056404103,0.8440190945632556,0.8487864593751215,0.8423488950847222,0.8505220690005724,0.8573925144976619,0.8591808974971133,0.8437683202257805,0.8545097878462175,0.8651868436973802
0.01,0.6,0.6009381981619154,0.7520749827672714,0.7883600174242562,0.8226076710364147,0.8255895691099135,0.8372395229828529,0.8353976842418851,0.8448197167338719,0.8451441480684535,0.8470853054748749,0.8467729071886803
0.005,0.6,0.49968673240525713,0.6533774145427234,0.7315255114340393,0.7812936606623239,0.7716716286307266,0.8036778516025184,0.8008147396435288,0.8263308046234167,0.8259160493445176,0.8267431381247089,0.8318074964736368
0.001,0.6,0.2633342833016852,0.42595076983873287,0.4955610963799278,0.5245045348421185,0.5587437081389127,0.6052412657397159,0.640296805679668,0.6570763701488033,0.6715496282490466,0.6956703797142803,0.717625923249332
0.05,0.9,0.7964118661748703,0.81416024600683,0.7912159448501718,0.7767998266086129,0.7534078534184382,0.7308266725497048,0.7329920684190776,0.6213371471954189,0.5018112750811872,0.018807755028084797,0.018183471224656786
0.01,0.9,0.7822257084352231,0.8297245042964834,0.8324565243102026,0.8485855807300992,0.85260895863004,0.8530708753383767,0.859253236625333,0.8574031617946268,0.8713196739686975,0.8603527154410171,0.8561272966558457
0.005,0.9,0.7193930124669763,0.7964736706825264,0.8293380486666189,0.8373531687747185,0.8525558344672541,0.8502949442671239,0.8556152335074703,0.8591839614226842,0.8609412796757079,0.8649807789985816,0.8661426586104707
0.001,0.9,0.4957868851178969,0.6294060605755238,0.6960420295462648,0.7603604600579149,0.7734987170087766,0.7986859476309119,0.8041651564857316,0.8107654080653803,0.8183046997039483,0.8249139180617145,0.8280709248259749
0.05,0.99,0.01834695731153497,0.01884057971014493,0.018807755028084797,0.017717827196500183,0.016849816849816852,0.017784256559766766,0.01811567842851946,0.01834695731153497,0.018807755028084797,0.018807755028084797,0.01818181818181818
0.01,0.99,0.5132557993210106,0.4735414392735081,0.4776251368022705,0.4079483264320377,0.3136006229348605,0.3258758304844224,0.3790424663757779,0.3933537809807851,0.32664531748405584,0.37868937127421465,0.3890619792134891
0.005,0.99,0.7450821270106099,0.7536381757806767,0.783576044075214,0.7656491177077696,0.7350578383232437,0.7389101111208521,0.7109669004212765,0.6857158900104015,0.6467163673178007,0.6423978446821594,0.6480962527793701
0.001,0.99,0.7668873694860797,0.8290400087710651,0.8375076743901863,0.8512292366057282,0.8515816011666046,0.8635665670595758,0.8613738875928719,0.8602546723760831,0.8603928356928451,0.8662728703153624,0.8676458931227247
